sku,local,gtin,nome,Nome
579,B2J,7898970315223,Cartucho 420Gr Ohx$R07L,14 | Cartucho 420Gr Ohx$R07L
580,B2J,7898970315230,Cartucho 420Gr Ahi4Xe#1,15 | Cartucho 420Gr Ahi4Xe#1
581,B2J,7898970315247,Cartucho 420Gr Toau11^1B,16 | Cartucho 420Gr Toau11^1B
582,B1PLC,7898704410002,Sache 600Ml 820Gr S6Ohx$R07L,110030010 | Sache 600Ml 820Gr S6Ohx$R07L
583,B1PL,7898966748219,Sache 600Ml 820Gr S6Ahi4Xe#1,110030009 | Sache 600Ml 820Gr S6Ahi4Xe#1
584,B1PLC,7898966748592,Sache 600Ml 820G S6Toau11^1B,110030028 | Sache 600Ml 820G S6Toau11^1B
585,B1PLB1E,7898966748455,Sache 400Ml 600Gr S4Ohx$R07L,110030017 | Sache 400Ml 600Gr S4Ohx$R07L
586,B1PLB1C,7898966748295,Sache 400Ml 600G S4Ahi4Xe#1,110030016 | Sache 400Ml 600G S4Ahi4Xe#1
587,B1PLB1E,7898966748318,Sache 400Ml 600Gr S4Toau11^1B,110030024 | Sache 400Ml 600Gr S4Toau11^1B
592,B2PLB,7898704418299,Vc 280Gr Pl S/Grav:Cinza,1186-001 | Vc 280Gr Pl S/Grav:Cinza
593,B1PRA2,7898704418251,Vc 280Gr Pl S/Grav Cristal,Vc 280Gr | Vc 280Gr Pl S/Grav Cristal
594,B1PL,7898704418268,Vc 280Gr Pl S/Grav Preto,Vc 280Gr | Vc 280Gr Pl S/Grav Preto
595,B1PL,7898704418275,Vc 280Gr Pl S/Grav Branco,Vc 280Gr | Vc 280Gr Pl S/Grav Branco
596,B1PL,7898704418282,Vc 280Gr Pl S/Grav Aluminio,Vc 280Gr | Vc 280Gr Pl S/Grav Aluminio
621,B1L2,5902120016785,Pistola Metalica Aplicadora Sache,40023 | Pistola Metalica Aplicadora Sache
632,B1O,7898704410781,Ved Adesivo Acrilico Pl S/Grav Branco,1186-006 | Ved Adesivo Acrilico Pl S/Grav Branco
634,B1PRJ3,7891638018238,Aplicador De Silicone Starf.Azul/01,84851 | Aplicador De Silicone Starf.Azul/01
641,A1G2,7898749681078,61261 - Rolo De Etiqueta Couche Adesiva 50Mm X 25Mm 2000 Etiquetas 28 Metros,4349 | 61261 - Rolo De Etiqueta Couche Adesiva 50Mm X 25Mm 2000 Etiquetas 28 Metros
648,B1PC,7897855200432,Silicone Siltrade Manut.Incolor 50G,1560011 | Silicone Siltrade Manut.Incolor 50G
649,B1PC,7897855200456,Silicone Siltrade Manut Bisnaga Preto 50G,1560012 | Silicone Siltrade Manut Bisnaga Preto 50G
650,C1,7899674011084,Silicone Siltrade Manutencao Incolor 280G,1560104 | Silicone Siltrade Manutencao Incolor 280G
718,B1L1,7891638054700,Aplicador De Silic.Star.C/Tubo 23Cm,112156 | Aplicador De Silic.Star.C/Tubo 23Cm
880,B1L4,7891638018757,Aplicador De Silicone Starf.Abto/28,84850 | Aplicador De Silicone Starf.Abto/28
887,B1L2,7898543381778,Aplicador 12:1 Para Pu Em Sachet Uso Profissional,69957367236 | Aplicador 12:1 Para Pu Em Sachet Uso Profissional
899,B1A2 | B1A1,7898357980600,Adespec Pesilox Transparente Cart 280G,78072770669 | Adespec Pesilox Transparente Cart 280G
900,B2A | B1N,51138290085,S - 1100 S/Cordão Nac Prs 1100 Sem Cordão,H0002053371 | S - 1100 S/Cordão Nac Prs 1100 Sem Cordão
901,B1PRE2C,7898704412556,C - Fita P/ Embalagem Mr 45Mmx45M,Hb004031207 | C - Fita P/ Embalagem Mr 45Mmx45M
904,B1C3,7891040216260,S - Fixa Forte Extreme 24Mmx2M,HB004492250 | S - Fixa Forte Extreme 24Mmx2M
910,B1C3 | B1C6,7891040075126,S - Fixa Forte Transp. 12Mm X 2M,HB004419873 | S - Fixa Forte Transp. 12Mm X 2M
911,B1PRE1C,7891040124596,C - 5808 Mr Rl 45Mm X 45M,Hb004031207 | C - 5808 Mr Rl 45Mm X 45M
950,B1F6,7898704410415,1110 C/Cordao Nac Cx 500 Prs 1110 Com Cordao Cx 500 Prs,H0002053355 | 1110 C/Cordao Nac Cx 500 Prs 1110 Com Cordao Cx 500 Prs
951,B1C3 | B1C6,7891040121403,S - Fixa Forte 113 Rl 24Mmx1.5M,HB004750186 | S - Fixa Forte 113 Rl 24Mmx1.5M
952,B1C3,7891040230037,S - Fixa Forte Cozinha 24Mmx1.5M,HB004750160 | S - Fixa Forte Cozinha 24Mmx1.5M
953,B1C3,7891040226108,S - Fixa Forte Banheiro 24Mmx1,Hb004488316 | S - Fixa Forte Banheiro 24Mmx1
956,B1F6,7891040205301,S - 4910 Rl 12Mmx5M Estojo,HB004522973 | S - 4910 Rl 12Mmx5M Estojo
957,B1PRE2E,7891040118793,S - 5802 Mr Rl 45Mmx45M,Hb004031207 | S - 5802 Mr Rl 45Mmx45M
958,B1F5,7891040118809,S - 5802 Tr Rl 45Mmx45M,Hb004031199 | S - 5802 Tr Rl 45Mmx45M
983,B1K4 | B1K6,7898472250176,Adesivo Inst 793 100G Bico Antientupimento,69957321884 | Adesivo Inst 793 100G Bico Antientupimento
984,B1PRI4C | O,7898472253092,Adesivo Inst 793 20G Bico Antientupimento,69957321708 | Adesivo Inst 793 20G Bico Antientupimento
985,B1PH,7898472253290,Adesivo Inst 725 50G,69957326675 | Adesivo Inst 725 50G
986,B1C3,7898472261554,Adesivo Para Artesanato T6000 25G,69957367269 | Adesivo Para Artesanato T6000 25G
987,B1PRC4D,7898543382263,Caneta Tekbond Uv 4G,69957367191 | Caneta Tekbond Uv 4G
